"Bradi0012s00100.1"	"GO:0003746;GO:0003924;GO:0005525;GO:0005737;GO:0006414"
"Bradi1g02805.1"	"GO:0008152;GO:0016746"
"Bradi1g02810.1"	"GO:0004335;GO:0005524;GO:0005737;GO:0006012;GO:0008152;GO:0016301;GO:0016773;GO:0046835"
"Bradi1g02830.3"	"GO:0005515"
"Bradi1g02840.1"	"GO:0005515"
"Bradi1g02880.2"	"GO:0005515"
"Bradi1g02890.5"	"GO:0005515"
"Bradi1g02900.2"	"GO:0005515"
"Bradi1g02910.6"	"unknown"
"Bradi1g02920.1"	"GO:0003824;GO:0004722;GO:0006470"
"Bradi1g02930.1"	"GO:0005506;GO:0009055;GO:0020037;GO:0022900"
"Bradi1g02940.3"	"GO:0005509;GO:0005515;GO:0005783;GO:0006457;GO:0051082"
"Bradi1g02950.1"	"GO:0003676;GO:0008270"
"Bradi1g02960.5"	"GO:0005515"
"Bradi1g02971.1"	"unknown"
"Bradi1g02980.2"	"unknown"
"Bradi1g02990.1"	"GO:0004641;GO:0005737;GO:0006189"
"Bradi1g03000.1"	"unknown"
"Bradi1g03010.1"	"unknown"
"Bradi1g03020.1"	"GO:0003700;GO:0006355;GO:0008270;GO:0043565"
"Bradi1g03030.1"	"GO:0003723;GO:0005488"
"Bradi1g03040.1"	"unknown"
"Bradi1g03050.1"	"GO:0006629"
"Bradi1g03090.1"	"GO:0004252;GO:0016021"
"Bradi1g03110.2"	"GO:0003824"
"Bradi1g03120.1"	"GO:0003824"
"Bradi1g03130.1"	"GO:0003824;GO:0008152"
"Bradi1g03136.2"	"GO:0005515"
"Bradi1g03142.1"	"GO:0005515"
"Bradi1g03150.3"	"unknown"
"Bradi1g03160.1"	"unknown"
"Bradi1g03170.1"	"unknown"
"Bradi1g03180.1"	"GO:0003676;GO:0003677;GO:0003723;GO:0004386;GO:0005524;GO:0005634;GO:0008270;GO:0016787"
"Bradi1g03185.1"	"unknown"
"Bradi1g03191.1"	"unknown"
"Bradi1g03196.2"	"unknown"
"Bradi1g03207.1"	"GO:0004553;GO:0005975"
"Bradi1g03220.1"	"GO:0003735;GO:0005622;GO:0005840;GO:0006412"
"Bradi1g03250.2"	"GO:0003824;GO:0008152;GO:0016788"
"Bradi1g03260.1"	"GO:0000162;GO:0004049;GO:0009058;GO:0016833"
"Bradi1g03270.3"	"GO:0000166;GO:0003676;GO:0046872"
"Bradi1g03283.1"	"unknown"
"Bradi1g03290.1"	"unknown"
"Bradi1g03307.3"	"GO:0005515"
"Bradi1g03330.1"	"unknown"
"Bradi1g03340.1"	"unknown"
"Bradi1g03350.1"	"GO:0005509;GO:0007156;GO:0016020"
"Bradi1g03363.1"	"unknown"
"Bradi1g03367.2"	"GO:0004672;GO:0004713;GO:0005524;GO:0006468"
"Bradi1g03380.1"	"unknown"
"Bradi1g03392.1"	"unknown"
"Bradi1g03400.1"	"GO:0006355"
"Bradi1g03410.1"	"GO:0045039"
"Bradi1g03420.1"	"GO:0004672;GO:0004713;GO:0005515;GO:0005524;GO:0006468"
"Bradi1g03440.1"	"GO:0008276"
"Bradi1g03450.2"	"GO:0005515"
"Bradi1g03461.1"	"unknown"
"Bradi1g03470.1"	"GO:0005516;GO:0006950"
"Bradi1g03480.1"	"GO:0005215;GO:0006810;GO:0016020;GO:0055085"
"Bradi1g03483.1"	"unknown"
"Bradi1g03486.1"	"GO:0005215;GO:0006810;GO:0016020;GO:0055085"
"Bradi1g03490.2"	"GO:0003924;GO:0005525;GO:0005622;GO:0006886;GO:0006913;GO:0007165;GO:0007264;GO:0015031;GO:0016020"
"Bradi1g03500.1"	"GO:0005215;GO:0006810;GO:0016020;GO:0016021;GO:0055085"
"Bradi1g03510.1"	"GO:0004867;GO:0005576"
"Bradi1g03530.6"	"GO:0016020;GO:0016021;GO:0022891;GO:0055085"
"Bradi1g03537.1"	"GO:0004672;GO:0004713;GO:0005524;GO:0006468;GO:0030246"
"Bradi1g03550.1"	"GO:0006807;GO:0009039;GO:0016151;GO:0016787;GO:0016810;GO:0043419"
"Bradi1g03560.1"	"unknown"
"Bradi1g03580.2"	"unknown"
"Bradi1g03590.1"	"GO:0005488"
"Bradi1g03595.1"	"unknown"
"Bradi1g03600.1"	"GO:0001510;GO:0008168;GO:0032259"
"Bradi1g03605.1"	"unknown"
"Bradi1g03610.1"	"unknown"
"Bradi1g03620.3"	"unknown"
"Bradi1g03640.1"	"GO:0005576;GO:0009664"
"Bradi1g03650.1"	"GO:0004672;GO:0004713;GO:0005524;GO:0006468"
"Bradi1g03660.1"	"unknown"
"Bradi1g03670.5"	"GO:0005515"
"Bradi1g03686.1"	"unknown"
"Bradi1g03690.1"	"GO:0003824;GO:0004722;GO:0006470"
"Bradi1g03700.1"	"GO:0003735;GO:0005622;GO:0005840;GO:0006412"
"Bradi1g03710.2"	"GO:0003677;GO:0006355"
"Bradi1g03720.1"	"unknown"
"Bradi1g03730.1"	"unknown"
"Bradi1g03737.5"	"GO:0003676;GO:0008270"
"Bradi1g03750.1"	"GO:0003779;GO:0005622;GO:0015629;GO:0030042"
"Bradi1g03760.1"	"GO:0003779;GO:0005622;GO:0015629;GO:0030042"
"Bradi1g03770.2"	"GO:0003676;GO:0046872"
"Bradi1g03780.1"	"GO:0003676;GO:0046872"
"Bradi1g03790.1"	"GO:0003676;GO:0046872"
"Bradi1g03800.3"	"GO:0008641;GO:0019781;GO:0045116"
"Bradi1g03820.2"	"GO:0003924;GO:0005525;GO:0005622;GO:0006886;GO:0006913;GO:0007165;GO:0007264;GO:0015031;GO:0016020"
"Bradi1g03827.1"	"unknown"
"Bradi1g03840.1"	"GO:0009813;GO:0016872;GO:0045430"
"Bradi1g03850.1"	"GO:0030001;GO:0046872"
"Bradi1g03860.1"	"GO:0005488;GO:0006508;GO:0008237;GO:0008270;GO:0019370"
"Bradi1g03867.2"	"GO:0005515"
"Bradi1g03880.1"	"GO:0003677;GO:0003700;GO:0006355;GO:0007275"
"Bradi1g03890.5"	"unknown"
"Bradi1g03900.1"	"GO:0005515;GO:0006355;GO:0008270;GO:0042393"
"Bradi1g03910.1"	"GO:0003824;GO:0050662"
"Bradi1g03920.1"	"GO:0003993;GO:0016791"
"Bradi1g03930.1"	"unknown"
"Bradi1g03940.1"	"unknown"
"Bradi1g03947.1"	"unknown"
"Bradi1g03950.2"	"GO:0015948;GO:0050524"
"Bradi1g03951.2"	"unknown"
"Bradi1g03953.1"	"unknown"
"Bradi1g03961.1"	"unknown"
"Bradi1g03965.2"	"unknown"
"Bradi1g03980.1"	"unknown"
"Bradi1g03990.1"	"GO:0000398"
"Bradi1g04000.5"	"GO:0003779;GO:0005856;GO:0030036"
"Bradi1g04010.1"	"unknown"
"Bradi1g04030.1"	"GO:0016491;GO:0055114"
"Bradi1g04060.3"	"GO:0000917;GO:0005525"
"Bradi1g04070.1"	"GO:0003735;GO:0005622;GO:0005840;GO:0006412"
"Bradi1g04080.1"	"GO:0004672;GO:0004713;GO:0005524;GO:0006468"
"Bradi1g04090.1"	"unknown"
"Bradi1g04097.2"	"GO:0003676;GO:0003677;GO:0005634;GO:0006351;GO:0006355;GO:0006357;GO:0008270;GO:0032784"
"Bradi1g04110.1"	"GO:0003677;GO:0003700;GO:0006355"
"Bradi1g04120.7"	"GO:0003676;GO:0003723"
"Bradi1g04130.1"	"GO:0003735;GO:0005622;GO:0005840;GO:0006412"
"Bradi1g04140.1"	"GO:0004489;GO:0006555;GO:0055114"
"Bradi1g04150.1"	"GO:0003677;GO:0006355"
"Bradi1g04160.1"	"unknown"
"Bradi1g04180.2"	"GO:0005515;GO:0008270"
"Bradi1g04191.1"	"unknown"
"Bradi1g04200.1"	"GO:0004129;GO:0016021;GO:0055114"
"Bradi1g04210.4"	"GO:0003677;GO:0003916;GO:0003918;GO:0005524;GO:0005694;GO:0006259;GO:0006265"
"Bradi1g04220.5"	"GO:0005525;GO:0005622;GO:0006886;GO:0007264;GO:0015031"
"Bradi1g04226.2"	"GO:0005515"
"Bradi1g04232.1"	"GO:0003735;GO:0005622;GO:0005840;GO:0006412"
"Bradi1g04240.2"	"GO:0000166;GO:0003676"
"Bradi1g04250.1"	"GO:0000413;GO:0003755;GO:0006457"
"Bradi1g04270.1"	"GO:0003676;GO:0006338;GO:0006355;GO:0031011"
"Bradi1g04280.3"	"GO:0046983"
"Bradi1g04286.3"	"GO:0005515"
"Bradi1g04288.1"	"GO:0005515"
"Bradi1g04292.1"	"unknown"
"Bradi1g04300.1"	"GO:0005524;GO:0015979;GO:0015995;GO:0016851"
"Bradi1g04310.1"	"GO:0004806;GO:0006629;GO:0008152"
"Bradi1g04320.1"	"GO:0008152;GO:0008667;GO:0016491;GO:0019290;GO:0055114"
"Bradi1g04330.1"	"GO:0003924;GO:0005509;GO:0005525;GO:0005622;GO:0005739;GO:0007005;GO:0007264;GO:0015031;GO:0031307"
"Bradi1g04337.2"	"unknown"
"Bradi1g04397.2"	"GO:0003777;GO:0005524;GO:0005871;GO:0007018;GO:0008017;GO:0008237"
"Bradi1g04430.1"	"GO:0006869;GO:0008289"
"Bradi1g04440.1"	"GO:0004672;GO:0004713;GO:0005509;GO:0005524;GO:0006468"
"Bradi1g04460.1"	"GO:0006464;GO:0015031"
"Bradi1g04477.2"	"unknown"
"Bradi1g04500.1"	"GO:0016021;GO:0055085"
"Bradi1g04520.1"	"GO:0003824"
"Bradi1g04527.1"	"unknown"
"Bradi1g04540.1"	"GO:0003824;GO:0004722;GO:0005515;GO:0006470"
"Bradi1g04550.7"	"GO:0005515;GO:0008270;GO:0046872"
"Bradi1g04570.1"	"GO:0000178;GO:0003723"
"Bradi1g04590.1"	"GO:0016787"
"Bradi1g04597.7"	"unknown"
"Bradi1g04620.1"	"unknown"
"Bradi1g04630.1"	"unknown"
"Bradi1g04660.1"	"GO:0003723;GO:0003735;GO:0005840;GO:0006412;GO:0015935"
"Bradi1g04670.1"	"unknown"
"Bradi1g04683.2"	"unknown"
"Bradi1g04690.2"	"GO:0009055"
"Bradi1g04700.1"	"GO:0009522;GO:0009538;GO:0015979"
"Bradi1g04710.5"	"unknown"
"Bradi1g04720.1"	"unknown"
"Bradi1g04730.2"	"unknown"
"Bradi1g04740.1"	"GO:0005750;GO:0006122"
"Bradi1g04750.2"	"unknown"
"Bradi1g04760.1"	"unknown"
"Bradi1g04780.1"	"unknown"
"Bradi1g04790.1"	"GO:0045454"
"Bradi1g04800.1"	"GO:0003746;GO:0005737;GO:0006414;GO:0043043"
"Bradi1g04810.1"	"GO:0010277;GO:0016491;GO:0051537;GO:0055114"
"Bradi1g04820.7"	"GO:0006465;GO:0008233;GO:0016020"
"Bradi1g04830.1"	"GO:0003824;GO:0008152"
"Bradi1g04840.1"	"unknown"
"Bradi1g04850.1"	"GO:0016787"
"Bradi1g04855.1"	"unknown"
"Bradi1g04860.4"	"GO:0003676;GO:0005524"
"Bradi1g04870.1"	"GO:0004310;GO:0008610;GO:0009058;GO:0016021;GO:0016740"
"Bradi1g04880.1"	"GO:0008152;GO:0016758"
"Bradi1g04900.1"	"GO:0004310;GO:0008610;GO:0009058;GO:0016021;GO:0016740"
"Bradi1g04907.2"	"GO:0030145;GO:0045735"
"Bradi1g04917.2"	"GO:0003824;GO:0008152"
"Bradi1g04930.1"	"GO:0006869;GO:0008289"
"Bradi1g04940.1"	"unknown"
"Bradi1g04950.3"	"unknown"
"Bradi1g04957.1"	"GO:0006486;GO:0006955;GO:0008378;GO:0016020;GO:0016757;GO:0030246"
"Bradi1g04970.2"	"GO:0003676"
"Bradi1g04980.1"	"unknown"
"Bradi1g04990.1"	"GO:0006486;GO:0008378;GO:0016020;GO:0030246"
"Bradi1g05000.3"	"GO:0005506;GO:0016491;GO:0016705;GO:0031418;GO:0055114"
"Bradi1g05010.1"	"unknown"
"Bradi1g05020.1"	"unknown"
"Bradi1g05030.1"	"GO:0006810;GO:0016021;GO:0016192"
"Bradi1g05037.1"	"GO:0046983"
"Bradi1g05050.1"	"GO:0004605"
"Bradi1g05056.1"	"unknown"
"Bradi1g05070.3"	"unknown"
"Bradi1g05080.1"	"unknown"
"Bradi1g05090.1"	"GO:0004672;GO:0004713;GO:0005524;GO:0006468"
"Bradi1g05100.2"	"unknown"
"Bradi1g05110.3"	"GO:0000166;GO:0003676"
"Bradi1g05116.6"	"GO:0003919;GO:0009231"
"Bradi1g05122.2"	"GO:0005488;GO:0008565;GO:0015031;GO:0030904;GO:0042147"
"Bradi1g05130.4"	"GO:0005515"
"Bradi1g05141.1"	"GO:0006662;GO:0015035;GO:0045454"
"Bradi1g05150.2"	"GO:0006662;GO:0015035;GO:0045454"
"Bradi1g05156.2"	"unknown"
"Bradi1g05162.6"	"GO:0003676;GO:0005515"
"Bradi1g05170.2"	"GO:0005515"
"Bradi1g05180.1"	"GO:0016021;GO:0055085"
"Bradi1g05198.1"	"unknown"
"Bradi1g05205.1"	"unknown"
"Bradi1g05211.1"	"GO:0008299"
"Bradi1g05214.1"	"GO:0008299"
"Bradi1g05217.1"	"unknown"
"Bradi1g05230.1"	"unknown"
"Bradi1g05240.1"	"GO:0000287;GO:0003924;GO:0005525"
"Bradi1g05251.1"	"GO:0005515;GO:0008270"
"Bradi1g05260.2"	"unknown"
"Bradi1g05306.1"	"unknown"
"Bradi1g05310.3"	"GO:0044780"
"Bradi1g05320.1"	"unknown"
"Bradi1g05330.1"	"GO:0000786;GO:0003677;GO:0005634;GO:0006334"
"Bradi1g05340.3"	"GO:0003735;GO:0005840;GO:0006412;GO:0015935"
"Bradi1g05346.1"	"GO:0003700;GO:0006213;GO:0006355;GO:0016763;GO:0043565"
"Bradi1g05360.1"	"unknown"
"Bradi1g05371.2"	"unknown"
"Bradi1g05390.2"	"GO:0005515;GO:0008270;GO:0046872"
"Bradi1g05410.1"	"GO:0005634;GO:0006355"
"Bradi1g05420.2"	"unknown"
"Bradi1g05430.4"	"GO:0046983"
"Bradi1g05450.1"	"GO:0000105;GO:0003824;GO:0004834;GO:0006568;GO:0008152"
"Bradi1g05460.1"	"GO:0003824;GO:0004834;GO:0006568;GO:0008152"
"Bradi1g05467.3"	"GO:0003824;GO:0004834;GO:0006568;GO:0008152"
"Bradi1g05480.1"	"GO:0003700;GO:0006355;GO:0043565"
"Bradi1g05490.2"	"GO:0003924;GO:0005525"
"Bradi1g05500.2"	"unknown"
"Bradi1g05510.1"	"GO:0003735;GO:0005840;GO:0006412"
"Bradi1g05520.7"	"unknown"
"Bradi1g05540.1"	"unknown"
